"nid","parent_nid","name","serial","type","latitude","longitude","status"
"821","15","Kabupaten Banyuwangi","1501","2","-8.2186111","114.3669444","1"
"823","15","Kabupaten Madiun","1502","2","-7.627753","111.505483","1"
"824","15","Kabupaten Ponorogo","1503","2","-7.867827","111.466003","1"
"825","15","Kabupaten Magetan","1504","2","-7.6493413","111.3381593","1"
"826","15","Kabupaten Pacitan","1505","2","-8.204614","111.08769","1"
"827","15","Kabupaten Ngawi","1506","2","-7.38993","111.46193","1"
"828","15","Kabupaten Bangkalan","1507","2","-7.0306912","112.7450068","1"
"829","15","Kabupaten Kediri","1508","2","-7.809356","112.032356","1"
"830","15","Kabupaten Bondowoso","1509","2","-7.917704","113.813483","1"
"831","15","Kabupaten Blitar","1510","2","-8.1014419","112.162762","1"
"832","15","Kabupaten Trenggalek","1511","2","-8.05","111.7166667","1"
"833","15","Kabupaten Tulungagung","1512","2","-8.0666667","111.9","1"
"834","15","Kabupaten Nganjuk","1513","2","-7.602932","111.901808","1"
"835","15","Kabupaten Situbondo","1514","2","-7.702534","113.955605","1"
"836","15","Kabupaten Malang","1515","2","-8.0495643","112.6884549","1"
"837","15","Kabupaten Jember","1516","2","-8.172357","113.700302","1"
"838","15","Kabupaten Sumenep","1517","2","-6.9253999","113.9060624","1"
"839","15","Kabupaten Pasuruan","1518","2","-6.8623098","108.8001936","1"
"840","15","Kabupaten Pamekasan","1519","2","-7.1666667","113.4666667","1"
"841","15","Kabupaten Probolinggo","1520","2","-7.753965","113.210675","1"
"842","15","Kabupaten Lumajang","1521","2","-8.137022","113.226601","1"
"843","15","Kabupaten Bojonegoro","1522","2","0.882681","124.4669566","1"
"844","15","Kabupaten Tuban","1523","2","-8.7493146","115.1711298","1"
"845","15","Kabupaten Lamongan","1524","2","-7.406153","109.3946794","1"
"846","15","Kabupaten Sidoarjo","1525","2","-7.4530278","112.7173389","1"
"847","15","Kabupaten Sampang","1526","2","-7.5782556","109.2058436","1"
"848","15","Kabupaten Mojokerto","1527","2","-7.488075","112.427027","1"
"849","15","Kabupaten Gresik","1528","2","-7.15665","112.6555","1"
"850","15","Kabupaten Jombang","1529","2","-7.5468395","112.2264794","1"
"851","15","Kota Mojokerto","1530","2","-7.4722222","112.4336111","1"
"852","15","Kota Surabaya","1531","2","-7.289166","112.734398","1"
"853","15","Kota Madiun","1532","2","-7.629714","111.513702","1"
"854","15","Kota Blitar","1533","2","-8.1","112.15","1"
"855","15","Kota Malang","1534","2","-7.981894","112.626503","1"
"856","15","Kota Batu","1535","2","-7.8671","112.5239","1"
"857","15","Kota Pasuruan","1536","2","-7.644872","112.903297","1"
"858","15","Kota Kediri","1537","2","-7.816895","112.011398","1"
"859","15","Kota Probolinggo","1538","2","-7.756928","113.211502","1"
